131	1071580	3416	943
132	1089380	4204	1526
133	1112461	2724	1700
134	1127576	308	193
135	1129480	1310	597
136	1137273	1613	574
137	1146886	815	334
138	1151941	1181	404
139	1158847	823	358
140	1163425	297	169
141	1165333	1134	448
142	1171998	2764	971
143	1186545	1347	571
144	1194448	986	470
145	1200283	688	326
146	1204331	8	8
147	1204404	143	60
148	1205262	4	2
149	1205288	3553	1003
150	1225645	2529	714
151	1240053	1379	694
152	1247596	4	4
153	1247625	198	145
154	1248977	2213	661
155	1261507	632	230
156	1265539	1298	543
157	1272867	1469	698
158	1281698	921	465
159	1287120	463	265
160	1289939	1800	627
161	1300345	253	119
162	1301907	227	162
163	1303448	5119	953
164	1330390	5928	1052
165	1361386	29	24
166	1361592	3334	1496
167	1378982	804	435
168	1383895	501	199
169	1386661	16	12
170	1386776	1098	426
171	1393323	578	303
172	1396966	92	36
173	1397570	1790	360
174	1406882	1411	283
175	1414355	295	193
176	1416161	1382	662
177	1424107	6500	976
178	1456593	216	156
179	1457982	119	62
180	1458735	1272	509
181	1465904	1200	549
182	1473210	3407	1473
183	1493433	1386	923
184	1501873	3146	1131
185	1519383	2	2
186	1519397	2	2
187	1519411	16	2
188	1519493	1155	413
189	1525706	623	375
190	1529675	1918	660
191	1540911	364	216
192	1543004	203	111
193	1544258	431	217
194	1546756	839	313
195	1551540	979	530
196	1556857	1069	500
197	1562899	2	2
198	1562915	5241	789
199	1590777	1728	297
200	1600147	1083	529
201	1606884	481	204
202	1610010	577	358
203	1613605	2713	783
204	1629016	843	182
205	1633654	1651	701
206	1643503	1573	304
207	1651529	536	154
208	1654595	3478	1025
209	1674731	751	298
210	1679126	4091	386
211	1700544	220	162
212	1702010	1931	664
213	1713245	2115	400
214	1725485	3309	1007
215	1745089	1533	618
216	1754564	1783	466
217	1764932	4	3
218	1764964	41	33
219	1765262	2218	413
220	1777989	764	280
221	1782615	138	88
222	1783513	458	111
223	1786004	321	92
224	1787935	387	20
225	1789860	240	61
226	1791238	1619	432
227	1800593	3499	712
228	1819444	400	204
229	1822058	1337	520
230	1829737	186	45
231	1830817	23	19
232	1830985	322	63
233	1832792	168	87
234	1833879	189	96
235	1835080	188	80
236	1836185	1503	334
237	1844405	155	68
238	1845336	2418	433
239	1858454	223	173
240	1859982	334	110
241	1861857	1496	510
242	1870508	279	128
243	1872229	80	70
244	1872755	2	2
245	1872773	1495	543
246	1881426	369	108
247	1883514	668	120
248	1887172	139	47
249	1887989	186	115
250	1889227	513	228
251	1892497	20	13
252	1892653	273	128
253	1894414	273	192
254	1896191	1738	511
255	1906282	943	350
256	1911353	227	133
257	1912789	278	88
258	1914453	341	206
259	1916605	115	62
260	1917401	1283	462
261	1925094	273	170
262	1926819	292	39
263	1928331	65	46
264	1928787	11	8
265	1928873	3181	522
266	1946953	14	12
267	1947061	504	236
268	1950240	103	62
269	1950990	103	47
270	1951641	13	10
271	1951736	1541	394
272	1959862	88	44
273	1960454	118	28
274	1961169	276	74
275	1962695	2060	677
276	1974651	2617	1053
277	1990185	200	116
278	1991535	27	20
279	1991720	51	43
280	1992086	155	40
281	1992984	350	154
282	1995181	23	19
283	1995352	128	26
284	1996160	13	9
285	1996264	1805	801
286	2006976	3360	717
287	2024359	1245	288
288	2031144	5060	822
289	2057452	351	205
290	2059688	134	71
291	2060572	2853	569
292	2076218	3660	992
293	2096053	399	249
294	2098669	15931	2010
295	2180557	542	346
296	2183973	2449	492
297	2197397	501	322
298	2200413	2075	382
299	2211657	327	210
300	2213697	1278	365
301	2220955	1395	1049
302	2229504	702	329
303	2233705	412	183
304	2236207	1084	489
305	2242399	1774	517
306	2252394	171	87
307	2253392	741	366
308	2257724	518	193
309	2260935	118	65
310	2261673	12	12
311	2261768	2238	206
312	2273150	91	59
313	2273761	19876	388
314	2357385	60	42
315	2357796	73	24
316	2358237	240	115
317	2359674	1918	277
318	2369179	1472	669
319	2378159	316	228
320	2380067	89	42
321	2380637	36	22
322	2380880	2553	656
323	2394483	3695	134
324	2410590	2244	231
325	2422192	182	140
326	2423432	297	153
327	2425264	42	15
328	2425525	1044	370
329	2431438	508	207
330	2434465	58	44
331	2434892	232	98
332	2436318	410	235
333	2439010	3065	513
334	2455928	448	63
335	2458531	166	96
336	2459628	25	13
337	2459797	781	236
338	2464435	1692	604
339	2474593	227	112
340	2476079	1428	550
341	2484514	629	329
342	2488565	3576	956
343	2506848	441	253
344	2509738	7861	847
345	2549679	3385	624
346	2567104	1974	577
347	2578173	4	4
348	2578204	232	75
349	2579491	648	344
350	2583660	784	439
351	2588304	14	9
352	2588406	679	438
353	2592400	2	2
354	2592418	137	43
355	2593208	357	143
356	2595457	1318	413
357	2602627	456	210
358	2605323	359	239
359	2607681	726	344
360	2612250	835	450
361	2617454	8	2
362	2617502	523	265
363	2620762	3577	517
364	2640139	1664	531
365	2650140	4974	1023
366	2676304	477	211
367	2679237	1816	536
368	2689899	161	123
369	2691057	1623	363
370	2700258	2317	668
